name,domain
# Tier 5 OCW/university seeds.
# CLIENT UPDATE 2026-07-03: US universities are INCLUDED (new instruction).
MIT OpenCourseWare,ocw.mit.edu
Open Yale Courses,oyc.yale.edu
Carnegie Mellon OLI,oli.cmu.edu
UC Irvine OCW,ocw.uci.edu
Johns Hopkins OCW,ocw.jhsph.edu
Tufts OCW,ocw.tufts.edu
Utah State OCW,ocw.usu.edu
TU Delft OCW,ocw.tudelft.nl
Kyoto University OCW,ocw.kyoto-u.ac.jp
University of Cape Town OpenUCT,open.uct.ac.za
Universiti Teknologi Malaysia OCW,ocw.utm.my
Indian NPTEL,nptel.ac.in
African Virtual University,oer.avu.org
